,artist,num_songs_on_billboard,num_albums
0,Teddy Swims,1,4
1,Imagine Dragons,13,11
2,Eric Church,2,15
3,Kacey Musgraves,2,8
4,Rae Sremmurd,4,4
5,BJ The Chicago Kid,1,5
6,Ylvis,1,1
7,Coi Leray,2,4
8,Gunna,7,13
9,PSY,1,9
10,Lauren Spencer Smith,1,2
11,Artemas,1,2
12,Lady Gaga,6,17
13,HARDY,2,5
14,Machine Gun Kelly,1,12
15,Zayn / Taylor Swift,1,30
16,Olly Murs,1,11
17,Jessica Darrow,1,0
18,XXXTENTACION,4,8
19,6LACK,1,9
20,Demi Lovato,5,15
21,Rick Ross,4,18
22,Shaboozey,1,3
23,Don Toliver,1,7
24,City Girls,1,4
25,Tove Lo,4,10
26,Mooski,1,1
27,Brenda Lee,4,22
28,Carolina Gaitan,1,0
29,Pitbull,3,20
30,Zara Larsson,1,5
31,Ella Henderson,1,3
32,Jennifer Lawrence,1,0
33,Jessie J,2,6
34,Adele,7,4
35,Saweetie,2,4
36,GAYLE,1,1
37,Burl Ives,3,32
38,Fetty Wap,5,8
39,Megan Moroney,1,4
40,Sabrina Carpenter,4,8
41,N*E*R*D,1,18
42,4batz,1,1
43,KONGOS,1,10
44,Meghan Trainor,10,13
45,Pharrell Williams,3,4
46,Kenny Chesney,2,25
47,Lil Durk,8,26
48,Blake Shelton,5,15
49,Joji,1,4
50,Fifth Harmony,3,3
51,ERNEST,2,4
52,Jason Aldean,6,13
53,Roman GianArthur,1,1
54,Nate Smith,2,3
55,Brantley Gilbert,1,13
56,Peso Pluma,3,6
57,Walker Hayes,3,7
58,Lil Tjay,3,5
59,The Chainsmokers,6,6
60,Sheck Wes,1,1
61,Muni Long,2,3
62,YFN Lucci,1,11
63,Yo Gotti,2,34
64,OMI,1,2
65,Brett Young,2,8
66,Jason Derulo,6,11
67,A Boogie Wit da Hoodie,3,12
68,Kent Jones,1,0
69,Dean Lewis,1,3
70,Pistol Annies,1,4
71,James Newton Howard,1,80
72,Aloe Blacc,1,12
73,Tyler Cole,1,4
74,Arizona Zervas,1,1
75,Jelly Roll,5,25
76,Swae Lee,4,2
77,5 Seconds Of Summer,4,10
78,Ice Spice,4,3
79,StaySolidRocky,1,2
80,A$AP Rocky,3,4
81,JVKE,1,1
82,Tae,1,6
83,Myles Smith,1,0
84,Shay,6,0
85,Lizzo,4,4
86,Lady Antebellum,2,16
87,Rauw Alejandro,2,8
88,Ty Dolla $ign Feat.,1,10
89,Wanz,1,0
90,Justin Bieber,27,15
91,H.E.R.,1,3
92,Calboy,1,8
93,OneRepublic,4,11
94,James Arthur,1,7
95,Chance The Rapper,3,6
96,Jessie Murph,2,2
97,WizKid,1,7
98,Djo,1,2
99,Duncan Laurence,1,5
100,Chencho Corleone,1,1
101,MNEK,1,1
102,Eslabon Armado,1,7
103,Enrique Iglesias,2,16
104,Twenty One Pilots,4,10
105,Corey Kent,1,6
106,French Montana Or Too $hort Or Tyga,1,19
107,David Kushner,1,3
108,YK Osiris,1,3
109,blackbear,3,7
110,Masked Wolf,1,2
111,Project Pat,2,19
112,Jhay Cortez,1,5
113,Nelly,2,16
114,Lil Pump,1,5
115,6ix9ine,3,5
116,Hunter Hayes,2,8
117,Lorde,3,4
118,Gucci Mane,6,146
119,Frank Ocean,1,2
120,Black Eyed Peas,1,13
121,Kodak Black,6,20
122,070 Shake,1,4
123,Kelly Clarkson,2,13
124,Gabby Barrett,3,5
125,Surfaces,1,7
126,Portugal. The Man,2,14
127,Jon Bellion,1,5
128,Maneskin,1,5
129,Dove Cameron,1,1
130,Hozier,2,8
131,SZA,15,7
132,Travis Scott,13,7
