,index,artist,album,song,lyrics
0,14,Imagine Dragons,LOOM,Wake Up,"wheels up when i'm off the ground, i'm nowhere, but i'm all around, i'm spinnin'-in'-in', watch me now, i'm spinnin'-in-in' (spinnin'-in-in')  big man when a wall between us big man gonna break to pieces spinnin'-in'-in', can't believe it spinnin'-in'-in' (spinnin'-in'-in')  uh, turn around, turn it up talk a bit, zip it up lock you in, and close it up (up, up, up) yup  everybody's comin' for you, wake up everybody's comin', wake up bodies droppin' everywhere, i'm waist up everybody's comin', wake up  some days i'm a cha-chameleon ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
1,15,Imagine Dragons,LOOM,Nice to Meet You,"i was wandering up your street, and i was really hopin' to meet ya but your girlfriend gonna delete my number, gone i was wonderin' how your weekend's been, you wakin' up or you sleepin' in? your girlfriend's gonna be leavin' soon or not?  what could ever go wrong? sing your favorite song she could come along, oh yeah, yeah (oh yeah, yeah) what could ever go wrong? summer's never too long our love's too strong, oh yeah, yeah (oh yeah, yeah)  anyway, it's nice to meet ya anyway, it's nice to meet ya anyway, it's nice to meet ya anyway, it's nice to meet ya  i was buyin' you those flowers, i was listenin' for hours i was shuttin' up those doubters, ay, yeah she was jealous of our relationship, she hated that we were making it ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
2,16,Imagine Dragons,LOOM,Eyes Closed,"i could do this with my eyes closed  i'm back from the dead, from the back of my head been gone and facin' horrors that should never be said the wrath and the grit from the pit of despair been takin' every whip and word, i've never been spared  they say tomorrow's never promised, honest they say that angels are among us  lock me up in a maze (oh) turn out, turn out the lights (oh) i was born, i was raised for this (oh) turn out, turn out the lights (oh, turn out the lights) lock me up inside a cage just throw away the key, don't worry 'bout me i was drivin' in my car, throwin' up my hands, put it in coast  i could do this with my eyes closed (turn out, turn out the lights) i could do this with my eyes closed (turn out, turn out the lights) i could do this with my eyes closed  ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
3,17,Imagine Dragons,LOOM,Take Me to the Beach,"people-pleasing planet got a million people saying how to plan it i can no longer stand it gonna spend my days telling them to can it each and to their own got a salesman ringing my phone tell me where to go no, i don't wanna hear the down low  i owe nothing, not a penny, never wanna hear you preach no  take me to the beach, ah you could have the mountains, ah you take the snow, ah it's way too cold my heart is cold enough, ah push comes to shove, ah you could have the mountains, ah i'll take the beach  if you want it, come and get it ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
4,18,Imagine Dragons,LOOM,In Your Corner,"woke up to the phone, wanna see your name takin' some space, and i'm all to blame, alright alright, alright used to pick you up every afternoon spin you around every single room, alright alright, alright  how can it feel so good and be so bad? misunderstood and i can't take it back now just like i knew you would you turn your back and now we're here and it fades to black  tell me i'm right, tell i'm wrong did you know i've been here all along in your corner, in your corner? staying up late, playing our song you know, i've been here all along in your corner, in your corner  ay, ay, yeah (hold on, hold on) ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
7,21,Imagine Dragons,LOOM,Kid,"(you gotta get yourself together, kid)  you gotta get yourself together, kid you got to keep it together yeah, pull your trousers up, you're hosing it you gotta get your, get your, get yourself together  i'm chasin' dreams since i left the womb so keep that chin up, young one, you'll bloom  you gotta get yourself together, kid (get yourself together) you gotta get it together (get you, get you, get you, get you) pull your trousers up, you're hosing it (yeah) you gotta get your, get your, get yourself together  you gotta get yourself together, kid oh, how american ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
8,22,Imagine Dragons,LOOM,Fire in These Hills,"i don't think that i'm strong enough i don't think that i'm enough  and i know that you think about everything i did wrong, but i do too staying up these nights, drinking everything, i got nothing without you i fear i might die alone i fear i might knock and no one's home staying up these nights, thinking everything that i did wrong to you  i don't think that i'm strong enough i'm never enough  'cause there's fire in these hills and i think i've lost the will the more we try, the more we fail but after everything, you're here with me still ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
9,23,Imagine Dragons,LOOM,Eyes Closed (feat. J Balvin),"i could do this with my eyes closed (turn out the lights, yo)  i'm back from the dead, from the back of my head been gone and facin' horrors that should never be said the wrath and the grit from the pit of despair been takin' every whip and word, i've never been spared  they say tomorrow's never promised, honest they say that angels are among us  lock me up in a maze (oh) turn out, turn out the lights (oh) i was born, i was raised for this (oh) turn out, turn out the lights (oh, turn out the lights, yo) lock me up inside a cage just throw away the key, don't worry 'bout me i was drivin' in my car, throwin' up my hands, put it in coast  i could do this with my eyes closed (turn out, turn out the lights) i could do this with my eyes closed (turn out, turn out the lights) j balvin, men, uh  ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
10,97,Imagine Dragons,Mercury - Acts 1 & 2,Enemy (with JID) - from the series Arcane League of Legends,"look out for yourself  i wake up to the sounds of the silence that allows for my mind to run around with my ear up to the ground i'm searching to behold the stories that are told when my back is to the world that was smiling when i turned  tell you you're the greatest but once you turn, they hate us  oh, the misery everybody wants to be my enemy spare the sympathy everybody wants to be my enemy (look out for yourself) my enemy (look out for yourself) but i'm ready  your words up on the wall as you're praying for my fall and the laughter in the halls and the names that i've been called ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
11,98,Imagine Dragons,Mercury - Acts 1 & 2,My Life,"i know i took the path that you would never want for me i know i let you down, didn't i? so many sleepless nights where you were waiting up on me well, i'm just a slave unto the night  now remember when i told you that's the last you'll see of me? remember when i broke you down to tears? i know i took the path that you would never want for me i gave you hell through all the years  so i, i bet my life, i bet my life i bet my life on you i, i bet my life, i bet my life i bet my life on you  i've been around the world and never in my wildest dreams would i come running home to you ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
12,99,Imagine Dragons,Mercury - Acts 1 & 2,Lonely,"sometimes, i can get a little i can get a little lonely sometimes, i can get a little i can get a little lonely  some nights, i get a little lonely it's even when there's people all around me sometimes, i get a little anxious 'cause these pills don't work the way the doctor played it  i'm startin' to spin, needles and pins right on the brim, hand on a limb, takin' it in sleep it away, life in a day, and a day in a life mixing it up, checkin' it twice trying to breathe, starting to seize lights, camera, action and scene story of my life  oh, love (sometimes, i can get a little) have mercy (i can get a little lonely) on me (sometimes, i can get a little) ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
13,100,Imagine Dragons,Mercury - Acts 1 & 2,Wrecked,"days pass by and my eyes stay dry, and i think that i'm okay 'til i find myself in conversation, fading away the way you smile, the way you walk the time you took to teach me all that you had taught tell me, how am i supposed to move on?  these days i'm becoming everything that i hate wishing you were around but now it's too late my mind is a place that i can't escape your ghost  sometimes i wish that i could wish it all away one more rainy day without you sometimes i wish that i could see you one more day one more rainy day  oh, i'm a wreck without you here yeah, i'm a wreck since you've been gone i've tried to put this all behind me i think i was wrecked all along yeah, i'm a wreck  ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
14,101,Imagine Dragons,Mercury - Acts 1 & 2,Monday,"when you're down on your luck i take the bass, baby, turn it up when your face to the floor i turn the dial, turn it up more, oh-oh-oh  i'm there for you, will ya be there for me, too? ooh  i believe (i believe) in the cause (in the cause) i'm pound for pound, baby, turn it on a million calls will never do, i never get enough of you i never get enough of you  you are my monday, you're the best day of the week so underrated and a brand-new start ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
15,102,Imagine Dragons,Mercury - Acts 1 & 2,#1,"could someone take me home where i'm supposed to be? i'm on my back again, caught up in something could someone take me home? i could use a friendly face these leeches got to go yeah, i need a safe space  when am i gonna learn i've got to let things go? watchin' my candle burn, burn  'cause i know what i'm meant to be i don't need no one to believe when it's all been said and done i'm still my number one 'cause i know what i'm meant to be these people might not see when it's all been said and done i'm still my number one yeah, number one, two, three  you've let me down again, why am i surprised? i'm on my back again, walkin' in the wind i know how these things go, ooh-oh, ooh-oh (oh) ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
16,103,Imagine Dragons,Mercury - Acts 1 & 2,Easy Come Easy Go,"all my friends are gone, i don't blame them i guess i'd move on, do the same thing so i wrote a song to be my lullaby sing me to sleep at night, open my third eye  i'm not gon' lie to you, i miss you so much tell me what i did wrong to lose touch i'm not gon' lie to you, this has been a hard year how i wish that you were here  i just need to let it go, waitin' on a miracle guess that's just the way it goes, easy come, easy go i just need to let it go, turn it down and lay low it's just the way it goes, easy come, easy go  sometimes i drive a little too fast think i'm runnin' from demons of my past so i wrote a song to help me slow down keep my mind straight, but it's a bit late  i'm not gon' lie to you, i miss you so much tell me what i did wrong to lose touch i'm not gon' lie to you, this has been a hard year how i wish that you were here  ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
