Row ID,Column,WC,Narrativity_Overall,Narrativity_Staging,Narrativity_PlotProg,Narrativity_CogTension,Staging_1,Staging_2,Staging_3,Staging_4,Staging_5,PlotProg_1,PlotProg_2,PlotProg_3,PlotProg_4,PlotProg_5,CogTension_1,CogTension_2,CogTension_3,CogTension_4,CogTension_5
1,cleaned_lyrics,278,-27.73,-4.33,-45.04,-33.83,16.67,16.67,100,42.42,0,68.75,22.92,0,6.67,100,100,0,0,50.91,0
2,cleaned_lyrics,318,-32.89,-28.12,-52.62,-17.93,0,13.91,55.63,100,29.36,100,57.14,0,5.44,34.47,49.22,49.22,98.44,0,100
3,cleaned_lyrics,499,15.91,3.46,-9.33,53.59,20.25,20.25,8.86,100,0,53.85,100,30.77,0,87.49,0,100,50,0,0
4,cleaned_lyrics,381,-5.07,14.93,-14.42,-15.71,26.35,0,57.14,100,85.71,57.79,100,12.5,0,50,98.7,0,100,0,0
5,cleaned_lyrics,389,18.21,-5.72,-11.11,71.47,5.78,51.99,0,57.76,100,79.19,41.04,100,23.69,0,49.84,100,100,49.84,0
6,cleaned_lyrics,312,34.6,29.26,34.76,39.79,23.02,23.02,0,0,100,0,73.59,6.53,100,62.61,98.41,98.41,100,100,0
7,cleaned_lyrics,326,1.77,8.54,-54.04,50.82,41.04,83.33,75,100,0,100,0,0,0,92.18,65.4,100,66.67,83.33,0
8,cleaned_lyrics,473,,,,,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
9,cleaned_lyrics,0,,,,
10,cleaned_lyrics,304,37.59,79.01,40.57,-6.82,100,17.53,58.76,17.53,0,0,81.87,23.39,81.87,100,100,50,100,0,0.83
11,cleaned_lyrics,490,19.21,76.22,35.13,-53.71,100,37.5,75,0,6.25,0,100,11.11,88.89,66.67,100,0,0,0,0
12,cleaned_lyrics,448,-26.55,16.2,-24.86,-70.98,40,100,0,83.37,63.15,100,0,100,30.62,43.26,48.63,0,0,50.82,100
13,cleaned_lyrics,273,24.63,95.9,2.38,-24.4,100,33.33,0,6.17,40.12,68.56,60.7,100,32.02,0,100,0,75,0,0
14,cleaned_lyrics,396,44.08,87.16,89.62,-44.54,100,43.64,43.64,43.64,0,0,35.87,91.98,100,83.97,15.42,33.33,0,33.33,100
15,cleaned_lyrics,623,1.76,-27.03,-46.31,78.62,0,16.15,80.73,100,2.34,100,68.84,27.3,0,10.47,0,33.33,100,67.74,34.14
16,cleaned_lyrics,307,31.45,72.47,42.11,-20.23,100,0,57.92,1.46,35.34,0,57.46,22.14,100,31.87,78.71,39.35,100,0,60
17,cleaned_lyrics,329,29.49,37.39,26.17,24.91,60,50,0,100,31.69,51.67,51.67,100,79.86,0,40,40,100,0,0.31
18,cleaned_lyrics,203,,,,
19,cleaned_lyrics,291,-27.61,-42.09,-37.55,-3.2,0,67.4,100,67.4,34.81,100,80.27,0,40.14,80.27,47.46,0,100,100,100
20,cleaned_lyrics,318,-15.97,-12.73,-7.32,-27.86,0,48.21,16.07,34.69,100,100,100,34.57,94.96,0,100,20,60,0,0
21,cleaned_lyrics,311,5.44,32.56,-10.45,-5.8,53.44,0,22.22,100,0,57.88,100,26.67,0,26.67,98.41,100,0,50,0
22,cleaned_lyrics,271,0.61,28.97,6.92,-34.08,46.36,100,75,0,0,85.05,77.78,100,77.78,0,100,34.38,0,68.75,34.38
23,cleaned_lyrics,341,8.16,12.87,-20.1,31.72,42.83,100,33.33,88.89,0,56.52,0,70,20,100,0,1.43,100,1.43,1.43
24,cleaned_lyrics,378,-30.57,-15.82,-22.88,-53.01,0,100,25,28,78.67,100,0,55.56,94.07,26.52,100,20,0,20.27,20.27
25,cleaned_lyrics,504,44.36,73.72,75.7,-16.34,100,28.57,71.43,0,45,0,35.29,52.94,100,73.35,100,100,0,20,0.2
26,cleaned_lyrics,326,57.47,68.71,48.72,54.99,100,64.8,64.8,83.31,0,0,75.76,67.69,43.45,100,0,2.22,100,51.11,2.22
27,cleaned_lyrics,266,-3.69,-16.07,-16.46,21.46,0,75.34,38.36,26.03,100,100,42.27,63.41,84.54,0,0,0.61,0.61,100,33.74
28,cleaned_lyrics,362,-19.51,-38.28,-12.34,-7.91,0,96.74,71.98,100,85.99,100,60.66,74.08,79.78,0,100,50,50.69,50.69,0
29,cleaned_lyrics,233,,,,
30,cleaned_lyrics,250,10.49,7.41,40.16,-16.1,33.33,66.67,33.33,100,0,33.33,83.33,66.67,100,0,100,0,100,0,0
31,cleaned_lyrics,297,12.06,55.09,4.13,-23.04,85,48.12,0,100,37.5,32.98,11.9,100,0,14.29,100,25,25.42,50.85,0
32,cleaned_lyrics,285,-4.58,9.21,-3.37,-19.56,22.22,0,22.22,100,33.33,61.54,100,69.23,0,53.85,50,100,50,0,100
33,cleaned_lyrics,257,-13.37,22.33,-12.85,-49.59,38.08,18.46,0,100,20,88.31,95.86,100,0,69.23,94.44,0,3.7,100,100
34,cleaned_lyrics,209,,,,
35,cleaned_lyrics,215,,,,
36,cleaned_lyrics,259,-10.94,27.77,-6.12,-54.47,50,75,100,0,79.9,58.33,58.33,0,100,88.07,100,0,0,0,1.96
37,cleaned_lyrics,347,8.44,51.63,27.4,-53.71,83.88,41.63,100,0,85.71,4.18,42.09,0,100,23.08,100,0,0,0,0
38,cleaned_lyrics,234,,,,
39,cleaned_lyrics,271,11.42,10.52,-12.95,36.69,12.47,42.86,14.29,0,100,49.45,40,0,80,100,64.85,66.67,100,33.33,0
40,cleaned_lyrics,327,22.01,14.39,20.93,30.71,39.91,100,61.02,61.02,0,75.2,88.33,100,100,0,58.79,58.79,100,20,0
41,cleaned_lyrics,0,,,,
42,cleaned_lyrics,303,-0.09,4.4,11.44,-16.1,17.81,100,17.81,0,41.78,77.23,100,88.61,57.87,0,100,0,100,0,0
43,cleaned_lyrics,275,27.92,38.98,36.44,8.35,60,20,100,0,40,0,87.5,12.5,100,87.5,20,60,0,100,80
44,cleaned_lyrics,368,29.45,2.19,27.4,58.75,8.14,24.41,0,58.75,100,56.29,85.43,100,51.7,0,0,100,83.33,34.25,51.14
45,cleaned_lyrics,287,31.47,16.04,22.23,56.14,32.29,0,100,17.85,1.42,14.67,100,0,78.14,86.83,0,70.2,85.71,71.43,100
46,cleaned_lyrics,412,-5.5,60,-18.12,-58.39,98.8,35.93,100,72.73,0,59.24,42.77,66.67,0,100,98.8,0,50,0,100
47,cleaned_lyrics,0,,,,
48,cleaned_lyrics,378,22.98,63.98,-19.94,24.9,74.62,100,61.93,0,25.72,100,23.35,94.1,47.8,0,32.89,0,32.89,100,0
49,cleaned_lyrics,423,17.54,88.86,17.47,-53.71,100,47.61,56.34,4.42,0,17.47,0,20.97,100,8.07,100,0,0,0,0
50,cleaned_lyrics,284,-4.77,-34.85,-10.41,30.94,0,61,61,61,100,88.36,76.72,100,18.5,0,0,100,0,0,0
51,cleaned_lyrics,339,46.51,78.64,33.22,27.66,97.1,64.73,0,16.18,100,54.73,100,83.02,88.68,0,50,100,50,0,0
52,cleaned_lyrics,348,21.95,76.68,30.34,-41.17,100,66.67,44.44,67.63,0,0,58.83,31.87,32.86,100,100,0,33.33,0,0
53,cleaned_lyrics,259,23.08,19.55,-21.76,71.46,50,83.33,0,100,0.65,100,32,88.67,43.33,0,0,100,50,50,0
54,cleaned_lyrics,273,13.21,-27.34,36.02,30.94,0,100,42.86,74.87,60.32,0,0,34.99,64.36,100,0,0,100,0,0
55,cleaned_lyrics,288,33.63,48.37,-0.23,52.74,71.43,100,0,44.61,1,68.19,10.94,100,71.21,0,0,20,100,20.35,0
56,cleaned_lyrics,289,2.2,-27.16,7.5,26.24,0,0,45.97,91.94,100,28.36,56.72,85.07,0,100,0,60,0,100,61.75
57,cleaned_lyrics,392,38.18,60.16,49,5.38,82.3,100,71.71,0,71.71,0,0,48.15,100,61.12,0,32.73,100,11.61,100
58,cleaned_lyrics,451,34.16,28.14,37.23,37.1,47.25,25,0,100,12.5,0,64.03,64.03,28.06,100,0,100,60,40,80
59,cleaned_lyrics,0,,,,
60,cleaned_lyrics,304,-5.76,11.53,-36.98,8.17,17.65,26.47,0,79.41,100,100,37.34,60.84,13.84,0,100,100,100,0,0
61,cleaned_lyrics,366,31.27,15.58,24.63,53.59,15.68,20,0,60,100,47.75,50,100,58.33,0,0,100,50,0,0
62,cleaned_lyrics,261,11.8,62.01,-32.77,6.16,92.45,100,66.67,0,100,100,21.9,0,87.6,43.8,65.41,33.33,100,0,0
63,cleaned_lyrics,405,-35.39,-28.47,-23.99,-53.71,0,33.33,100,50,75,100,84.21,15.79,57.89,0,100,0,0,0,0
64,cleaned_lyrics,263,27.85,68.61,-35.21,50.16,100,0,16.67,70.51,2.56,100,54.88,66.16,0,0,0,58.87,19.62,100,20
65,cleaned_lyrics,233,,,,
66,cleaned_lyrics,232,,,,
67,cleaned_lyrics,464,-33.59,-22.17,-57.37,-21.23,0,20,100,40,63.91,100,25,0,8.33,11.96,100,0,100,50,50.54
68,cleaned_lyrics,184,,,,
69,cleaned_lyrics,244,,,,
70,cleaned_lyrics,329,22.47,10.55,15.64,41.22,24.12,84.42,48.24,0,100,15.58,6.2,6.2,100,0,0,16.67,16.67,100,16.92
71,cleaned_lyrics,374,13.35,22.76,-3.06,20.37,42.3,56.73,100,42.3,0,56.49,84.73,0,84.73,100,60,40,100,20,0
72,cleaned_lyrics,385,17.27,52.07,24.99,-25.26,75,87.5,100,62.5,0,66.67,100,91.67,75,0,100,0,100,100,100
73,cleaned_lyrics,288,25.04,55.04,26.2,-6.11,100,0,100,5.26,73.1,12.5,100,0,94.08,5.04,100,25,100,25.44,0
74,cleaned_lyrics,250,9.16,50,-6.43,-16.1,66.67,66.67,66.67,0,100,75,75,0,100,25,100,0,0,100,0
75,cleaned_lyrics,278,39.43,70.12,15.28,32.9,100,39.23,89.87,10.31,0,25.98,60.63,0,100,91.18,0,48.96,16.32,100,66.77
76,cleaned_lyrics,322,29.15,61.18,6.21,20.05,100,0,89.84,13.67,26.37,41.54,50.49,0,100,36.36,49.23,0,50,100,0
77,cleaned_lyrics,200,,,,
78,cleaned_lyrics,273,,-36.01,10.56,,0,100,100,55.56,55.56,10.25,100,10.25,0,91.41,50,50,50,50,50
79,cleaned_lyrics,537,-6.84,32.96,-20.51,-32.95,53.4,86.42,100,33.33,0,100,41.91,46.91,82.08,0,100,100,40.37,0,53.83
80,cleaned_lyrics,227,,,,
81,cleaned_lyrics,224,,,,
82,cleaned_lyrics,314,13.62,65.68,-10.27,-14.54,79.54,100,79.54,18.15,0,23.26,0,11.63,58.16,100,0,24.41,48.82,24.41,100
83,cleaned_lyrics,308,36.47,71.08,54.59,-16.26,100,36.98,87.4,12.81,0,0,30.5,61,53.5,100,100,0,100,1.64,1.64
84,cleaned_lyrics,0,,,,
85,cleaned_lyrics,283,52.26,54.17,26.35,76.27,100,100,13.18,88.37,0,14.29,0,100,63.78,92.86,0,50,100,76.79,76.79
86,cleaned_lyrics,252,-29.26,-18.56,-31.19,-38.04,0,12.14,100,25.73,25.73,91.88,77.87,0,57.14,100,100,0,0,40.8,0
87,cleaned_lyrics,277,33.18,68.3,-2.26,33.5,100,0,2.42,70.3,2.42,89.01,43.68,84.62,100,0,98.21,98.21,100,66.67,0
88,cleaned_lyrics,360,35.59,63.04,-9.76,53.51,71.43,0,57.14,57.14,100,66.67,66.67,0,100,100,0,100,33.33,66.67,33.33
89,cleaned_lyrics,276,,-2.95,-6.08,,0,16.21,30.17,2.24,100,75,88.89,100,0,44.44,50,50,50,50,50
90,cleaned_lyrics,476,-19.87,26.48,-35.14,-50.95,52.56,100,76.92,69.23,0,100,93.93,37.57,0,65.75,100,25.26,0,0,0
91,cleaned_lyrics,459,7.02,27.92,-37.79,30.94,21.08,21.08,0,42.16,100,100,84.21,0,31.58,49.1,0,100,0,0,0
92,cleaned_lyrics,318,34.24,84.82,-23.53,41.43,100,22.54,48.36,0,0,89.15,0,29.72,100,39.62,0,49.22,0,100,0
93,cleaned_lyrics,462,-4.02,42.74,-6.39,-48.41,69.03,59.14,100,80,0,25.19,25.19,0,57.14,100,100,24.38,50.96,0,50.96
